county,run_id,start_week,end_week,county_detected_weeks,peak_weekly_union_area_km2,cumulative_detected_area_km2_weeks
Aweil South,33,2015-09-28,2015-09-28,1,0.8484461028160706,0.8484461028160706
Aweil South,34,2015-12-14,2015-12-21,2,0.5304136837611361,0.5834548149354915
Aweil South,35,2016-08-22,2016-08-22,1,0.6894188834217065,0.6894188834217065
Aweil South,36,2016-09-05,2016-10-31,9,4.6130230791966715,24.390818069457392
Aweil South,37,2017-10-16,2017-12-18,10,18.252635448326153,53.64049926341715
Aweil South,38,2018-09-24,2018-11-05,7,6.680476136737807,22.427392269795227
Aweil South,39,2019-09-02,2019-09-09,2,0.15915705320835163,0.2121769495096025
Aweil South,40,2019-10-07,2019-12-23,12,3.5028719314799375,18.672450287243084
Aweil South,41,2020-01-06,2020-01-13,2,0.15908493714832697,0.31816987429665394
Aweil South,42,2020-04-20,2020-04-20,1,0.1061356613652118,0.1061356613652118
Aweil South,43,2020-10-05,2021-01-11,15,59.46177584698098,234.4555361378784
Aweil South,44,2021-08-16,2021-12-13,18,120.42946466837668,821.7139202437723
Aweil South,45,2022-09-12,2022-10-10,5,84.43018336763205,244.04448730268246
Aweil South,46,2022-10-24,2023-01-02,11,134.91448393293416,825.0874537055043
Aweil South,47,2023-11-06,2023-11-06,1,0.15917478531521687,0.15917478531521687
Aweil South,48,2023-12-04,2024-01-08,6,2.0165843931331717,5.518924376488384
Aweil South,49,2024-09-02,2024-12-30,18,74.3394947061081,656.6441958165466
Aweil South,50,2025-10-06,2025-12-08,10,6.9986815480228195,45.70311884294471
Aweil West,1,2000-10-30,2000-10-30,1,0.1590333585741369,0.1590333585741369
Aweil West,2,2001-08-20,2001-08-20,1,1.4315106458020879,1.4315106458020879
Aweil West,3,2001-10-01,2001-10-01,1,1.113400303907798,1.113400303907798
Aweil West,4,2002-11-11,2002-11-18,2,0.1590529154312531,0.2120857144961851
Aweil West,5,2003-03-31,2003-03-31,1,0.15906451109486477,0.15906451109486477
Aweil West,6,2003-04-21,2003-04-21,1,0.21214372015657904,0.21214372015657904
Aweil West,7,2003-05-26,2003-05-26,1,0.05299554626750933,0.05299554626750933
Aweil West,8,2003-06-16,2003-06-30,3,1.325489558529981,2.863278128387899
