state,county,county_code,week,flood_type,detected_pixel_days,unique_grid_cells,detected_area_km2
Unity,Mayom,SS0606,2000-10-23,unusual,2,2,0.1060920307356975
Unity,Mayom,SS0606,2000-10-30,recurring,3,3,0.15913435121063058
Unity,Mayom,SS0606,2000-10-30,unusual,2,1,0.05304586761823139
Unity,Mayom,SS0606,2000-11-06,recurring,1,1,0.053043797700744126
Unity,Mayom,SS0606,2000-11-20,recurring,8,7,0.37130151508993414
Unity,Mayom,SS0606,2000-11-20,unusual,4,2,0.1060920307356975
Unity,Mayom,SS0606,2000-11-27,recurring,9,7,0.3713092432229544
Unity,Mayom,SS0606,2000-11-27,unusual,1,1,0.05304261330937642
Unity,Mayom,SS0606,2000-12-04,recurring,4,4,0.21217578181144117
Unity,Mayom,SS0606,2000-12-04,unusual,1,1,0.053046163117466114
Unity,Mayom,SS0606,2000-12-11,recurring,5,5,0.2652195797273693
Unity,Mayom,SS0606,2000-12-11,unusual,4,2,0.1060920307356975
Unity,Mayom,SS0606,2000-12-18,recurring,16,16,0.8487019455190246
Unity,Mayom,SS0606,2000-12-25,recurring,35,18,0.954703368604271
Unity,Mayom,SS0606,2000-12-25,unusual,260,96,5.0896202560799635
Unity,Panyijiar,SS0607,2000-03-13,recurring,2,2,0.10642304265359342
Unity,Panyijiar,SS0607,2000-03-27,recurring,18,8,0.4256759145311075
Unity,Panyijiar,SS0607,2000-03-27,unusual,47,31,1.6493726030131601
Unity,Panyijiar,SS0607,2000-04-03,recurring,5,4,0.21278993487411013
Unity,Panyijiar,SS0607,2000-04-03,unusual,57,48,2.553441340079325
Unity,Panyijiar,SS0607,2000-04-10,recurring,1,1,0.05318924462880548
Unity,Panyijiar,SS0607,2000-04-10,unusual,4,4,0.21271764989301373
Unity,Panyijiar,SS0607,2000-04-17,recurring,2,2,0.10643490536082503
Unity,Panyijiar,SS0607,2000-04-17,unusual,7,7,0.3725202817775798
Unity,Panyijiar,SS0607,2000-05-01,recurring,10,7,0.3723675723928434
Unity,Panyijiar,SS0607,2000-05-01,unusual,22,19,1.0104301789512555
Unity,Panyijiar,SS0607,2000-05-08,recurring,1,1,0.05316802184655884
Unity,Panyijiar,SS0607,2000-05-15,recurring,2,2,0.10643188524035768
Unity,Panyijiar,SS0607,2000-06-12,unusual,1,1,0.05314660837262587
